ANO;UF;VAGA;NOME;NOME_URNA;DEFERIMENTO;NÚMERO;PARTIDO;NOME_PARTIDO;COLIGAÇÃO;NOME_COLIGAÇÃO;PROFISSÃO;GÊNERO;ENSINO;ESTADO_CIVIL;NACIONALIDADE;NATURALIDADE;MUNICÍPIO;SITUAÇÃO_FINAL
2018;RJ;DEPUTADO FEDERAL;JOYCE PIMENTEL DE OLIVEIRA CRUZ SOARES;JOYCE PIMENTEL;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;PDT / PSB;RENOVAR PARA MUDAR;DONA DE CASA;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;DUQUE DE CAXIAS;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;LOREN ALEXSANDRE CARNEIRO;LOREN RAINHA DO BUA;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;MDB;PARTIDO ISOLADO;OUTROS;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;PB;JOÃO PESSOA;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;ALEX NICODEMOS DE OLIVEIRA;LELECO;DEFERIDO;70;AVANTE;AVANTE;AVANTE;PARTIDO ISOLADO;OUTROS;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;OSWALDO LUIZ DA SILVA FILHO ;OSWALDO HOMEM DE FERRO ;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;PRB;PARTIDO ISOLADO;OUTROS;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO ;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;JOSE CARLOS LINO CARDOSO;CARLINHO CARDOSO;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;PHS;PARTIDO ISOLADO;OUTROS;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRASILEIRA NATA;AL;ALAGOAS;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;JAIME ANTONIO DA SILVA;JAIME TIJUCA;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;PV / DC;Rio Sustentável;OUTROS;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;ANDREA MAYKA BERNARDI FREITAS;MAYKA PAIVA;DEFERIDO;70;AVANTE;AVANTE;AVANTE;PARTIDO ISOLADO;ODONTÓLOGO;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO FEDERAL;CLEBER RIBEIRO AFONSO;COMANDANTE RIBEIRO AFONSO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;PSL;PARTIDO ISOLADO;MEMBRO DAS FORÇAS ARMADAS;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRASILEIRA (NATURALIZADA);RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO FEDERAL;MARILENA PINTO RODRIGUES;MARILENA DA SAÚDE;DEFERIDO;51;PATRI;PATRIOTA;PATRI;PARTIDO ISOLADO;TÉCNICO CONTABILIDADE, ESTATÍSTICA, ECONOMIA DOMÉSTICA E ADMINISTRAÇÃO;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;SÃO JOÃO DE MERITI;NÃO ELEITO
2018;RJ;DEPUTADO ESTADUAL;JUPIRA FARIAS DE OLIVEIRA;DRA. JUPIRA;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;PC do B;PARTIDO ISOLADO;ADVOGADO;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;SÃO GONÇALO;SUPLENTE
2018;RJ;DEPUTADO FEDERAL;BELMAN DE ALVARENGA HEITOR;MANINHO DO JORNAL DA BAIXADA;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;PRP;PARTIDO ISOLADO;COMERCIANTE;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;CAMPOS DOS GOYTAZACES;SUPLENTE
2018;RJ;DEPUTADO FEDERAL;VALDINEI RENATO MARINS;DINEY MARINS;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;SOLIDARIEDADE / PSDB / PPS;O RIO TEM JEITO;OUTROS;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;SAO GONÇALO;SUPLENTE
2018;RJ;DEPUTADO FEDERAL;PAULO HENRIQUE GONÇALVES JESUS;KINHO;DEFERIDO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;PSD;PARTIDO ISOLADO;PRODUTOR DE ESPETÁCULOS PÚBLICOS;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRASILEIRA NATA;RJ;SAQUAREMA;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;JOAO ALVES PEIXOTO;JOÃO PEIXOTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;PV / DC;Rio Sustentável;DEPUTADO;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;CAMPOS DOS GOYTACAZES;ELEITO POR QP
2018;RJ;DEPUTADO FEDERAL;WANDERLEY ALVES DE OLIVEIRA;DELEY;DEFERIDO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;DEM / MDB / PP / PTB;O RIO QUER PAZ;DEPUTADO;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;VOLTA REDONDA;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;MARCUS RIBEIRO SCURTI ;MARCUS SCURTI;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;PT;PARTIDO ISOLADO;VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;PA;BELEM;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;JORGE LUIZ FRANCO;JORGINHO FRANCO;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;PHS;PARTIDO ISOLADO;OUTROS;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
